time,title,news_url,image,content,description,how_long_ago
2025-08-04 17:20:16.340439,快訊／大雷雨轟1縣市　5縣市豪大雨特報,https://www.ettoday.net/news/20250804/3008531.htm,https://cdn2.ettoday.net/images/8338/8338584.gif,"
記者陳俊宏／台北報導
5縣市豪大雨特報！中央氣象署今天8時25分，對澎湖縣發布大雷雨即時訊息，持續時間至9時30分，請慎防劇烈降雨、雷擊、9級以上強陣風，低窪地區慎防淹水，以及低能見度。
豪雨特報：高雄市、屏東縣
大雨特報：台南市、澎湖縣、金門縣
氣象署也發布豪大雨特報，西南風影響，易有短延時強降雨，今日高雄市山區、屏東縣山區有局部大雨或豪雨，澎湖、金門、高雄、屏東、台南山區有局部大雨發生的機率，請注意雷擊及強陣風，低窪地區留意積淹水。
氣象署說，今日西南氣流減弱，降雨將逐漸趨緩且雨停空檔增加，不過在大環境偏西南風影響下，苗栗以南仍有短暫陣雨或雷雨，並有局部大雨或短延時豪雨機率，其他地區大多為多雲的天氣，清晨新竹以北有零星短暫陣雨或雷雨；午後新竹以北、東半部有局部短暫雷陣雨，大台北及北部、宜蘭山區午後降雨機率高，容易出現局部大雨。
","中央氣象署針對五縣市發布豪大雨特報，高雄、屏東有局部豪雨，台南、澎湖、金門則有大雨。
澎湖縣今早發布大雷雨即時訊息，提醒民眾防範劇烈降雨、雷擊與強陣風。
受西南風影響，高雄及屏東山區易有局部大雨或豪雨，低窪地區需留意積淹水。
西南氣流逐漸減弱，降雨將趨緩，但苗栗以南仍有局部陣雨或雷雨及大雨機率。
午後新竹以北、東半部有局部雷陣雨，大台北及北部、宜蘭山區午後降雨機率較高。",8小時前
2025-08-04 17:20:09.760626,李遠哲夫人吳錦麗過世！享耆壽90歲　已火化不辦追思會,https://www.ettoday.net/news/20250804/3008556.htm,https://cdn2.ettoday.net/images/6596/d6596245.jpg,"
▲中研院前院長李遠哲的妻子吳錦麗胰臟癌過世。（資料圖／記者林悅翻攝）
文／中央社
中央研究院前院長李遠哲博士的夫人吳錦麗女士已於7月12日以90之齡過世。李府親友依吳錦麗女士生前交代，後事一切從簡，已於8月3日火化。不辦追思會。
吳錦麗女士是李院長的小學同學，端莊嫻淑。1962年陪伴李遠哲赴美攻讀博士學位，1986年李遠哲獲得諾貝爾化學獎。期間，吳女士負責教養二子一女以群、以欣、以旋。1994年陪伴李遠哲返國出任中央研究院院長。夫婦鶼鰈情深。
吳女士一年半前發現患胰臟癌，雖經醫院和家人細心照護，最後仍羽化升仙。
據與李府來往密切人士透露，1996年前總統李登輝曾邀李遠哲出任行政院長，2000年前總統陳水扁曾邀李遠哲搭檔競選總統，陳水扁副之，皆因吳錦麗女士希望李遠哲遠離政治是非而未成為事實。
","中研院前院長李遠哲的妻子吳錦麗女士，已於7月12日以90歲高齡辭世。
她因胰臟癌病逝，後事遵照生前遺願已從簡火化。
吳錦麗女士是李遠哲的小學同學，一路陪伴他赴美求學並支持其學術生涯。
她在家中照護子女，夫妻倆鶼鰈情深。
據悉吳錦麗曾勸退李遠哲遠離政壇，使其婉拒閣揆與副總統的邀約。",7小時前
2025-08-04 17:19:48.531736,李遠哲夫人吳錦麗過世！享耆壽90歲　已火化不辦追思會,https://www.ettoday.net/news/20250804/3008556.htm,https://cdn2.ettoday.net/images/6596/d6596245.jpg,"
▲中研院前院長李遠哲的妻子吳錦麗胰臟癌過世。（資料圖／記者林悅翻攝）
文／中央社
中央研究院前院長李遠哲博士的夫人吳錦麗女士已於7月12日以90之齡過世。李府親友依吳錦麗女士生前交代，後事一切從簡，已於8月3日火化。不辦追思會。
吳錦麗女士是李院長的小學同學，端莊嫻淑。1962年陪伴李遠哲赴美攻讀博士學位，1986年李遠哲獲得諾貝爾化學獎。期間，吳女士負責教養二子一女以群、以欣、以旋。1994年陪伴李遠哲返國出任中央研究院院長。夫婦鶼鰈情深。
吳女士一年半前發現患胰臟癌，雖經醫院和家人細心照護，最後仍羽化升仙。
據與李府來往密切人士透露，1996年前總統李登輝曾邀李遠哲出任行政院長，2000年前總統陳水扁曾邀李遠哲搭檔競選總統，陳水扁副之，皆因吳錦麗女士希望李遠哲遠離政治是非而未成為事實。
","中研院前院長李遠哲的夫人吳錦麗女士，已於7月12日以90歲高齡辭世。
她一年半前發現罹患胰臟癌，雖經細心照護仍不敵病魔。
李府親友遵照吳錦麗女士生前遺願，後事一切從簡，已於8月3日火化且不辦追思會。
吳錦麗是李遠哲的小學同學，一路相伴夫婿學術生涯，並養育子女。
據悉她曾勸退李遠哲參與政治，使其遠離政壇紛擾。",7小時前
2025-08-04 17:19:27.321751,新竹甕窯雞名店爆「烤雞掉地再撿回」！店家急澄清：未流入餐桌,https://www.ettoday.net/news/20250804/3008549.htm,https://cdn2.ettoday.net/images/8338/d8338605.jpg,"
▲烤雞落地瞬間被路人拍下，引發網路衛生爭議聲浪，店家發布聲明致歉，強調掉落地面的烤雞已全部丟棄於廚餘桶中。（圖／翻攝自《新竹大小事》、店家臉書）
圖文／CTWANT
新竹縣芎林交流道附近一間知名甕窯雞店，近日遭民眾拍下疑似違反食品衛生的畫面，引發熱議。事件源於一段網友拍攝的影片，畫面中可見員工推車途中不慎打翻數隻甕窯雞，雞隻掉落地面後，員工竟將其撿起並與其他雞隻混放於籃中，繼續送往廚房處理。面對爭議，業者隨即於官方臉書發表聲明致歉，強調，落地雞隻已全數丟棄於廚餘桶，絕無提供給顧客食用，並附上現場照片佐證。
根據業者說明，事件發生於8月2日傍晚，當時員工在搬運半成品烤雞時不慎打翻。業者並指出，落地雞隻已全數丟棄於廚餘桶，絕無提供給顧客食用，並附上照片佐證，也者最後也表示會加強員工教育訓練，避免類似事件再度發生。
另外，還有熟識店家的民眾也出面稱，平時每日會到店內領取廚餘烤雞餵養流浪犬，當日也有領取該批雞隻，起初還詢問店家「怎麼這麼浪費」，後來得知是因雞隻落地，為維護食安而全數報廢。他強調這是店家一貫做法，並未回收或讓顧客誤食。
這起事件源於一段網友拍攝的影片，原PO表示，與家人剛用餐完畢，在一旁便利商店休息時，目睹此情況並直言「衛生真的有點噁心」，更擔心烤雞會被「回收再利用」，遂拍照上傳提醒民眾注意。
相關影像在臉書社團《新竹大小事》曝光後，迅速引發關注與質疑。許多網友留言表示不敢再消費，也有民眾反諷「這就是在地美食」。如今業者做出回應與補救，藉此挽回顧客信任與品牌形象。
","新竹一家知名甕窯雞店日前被拍到員工打翻烤雞後撿起，引發網路食品衛生爭議。
影片曝光後迅速引發熱議，許多網友擔憂烤雞可能被回收再利用。
店家隨後發布聲明致歉，強調所有掉落地面的烤雞都已丟棄於廚餘桶，絕無提供給顧客。
業者並附上照片佐證，承諾將加強員工教育訓練，以維護食品安全。
有民眾也出面證實店家將落地雞隻報廢為廚餘，並非回收給顧客食用。",7小時前
2025-08-04 17:19:06.871789,「護照蓋滿2頁」不倒翁紀念章　被拒絕出境！她傻眼：之前都可以,https://www.ettoday.net/news/20250804/3008561.htm,https://cdn2.ettoday.net/images/6762/d6762099.jpg,"
▲護照代表旅客出國的身分證件，依據規定禁止擅自塗改、蓋章。（圖／資料照）
記者施怡妏／綜合報導
護照是出國時的通行證，除了隨身攜帶外，也要注意不要留下髒汙或是毀損，一名女網友表示，過去多次前往日本旅遊，看到可愛的不倒翁印章，想留作紀念，於是在護照上蓋了滿滿兩頁，然而，近日從台灣出境時，被地勤人員攔下，以「護照汙損」為由拒絕登機，讓她當場錯愕。
女網友在Threads發文，看到其他人蓋了日本不倒翁紀念印章，也跟著在護照內蓋上紀念章，兩頁幾乎蓋滿，前幾次出國都未遇到問題，沒想到這次在台灣機場辦理登機時，被地勤發現護照內有自蓋章戳，並詢問「這章是妳自己蓋的嗎？」她如實回答後，地勤表示須進一步確認。
幾分鐘後，地勤回覆「無法登機」，要他去外交部辦理。女網友相當錯愕與著急，「幾個意思啦！我都飛幾趟了，這趟不能飛？」當天剛好遇到周五，即便申請急件也要等到周一才能拿到新護照，「我的機票白費了。」
女網友向地勤人員解釋，印章只是紀念用，並不理解為何因此被禁止出境。地勤反問「妳會在身分證上蓋章嗎？」讓她感到無奈且不滿，「身分證是紙嗎？蓋屁阿！」她還抱怨護照換發速度太慢，整個流程令人失望。最後，她也提醒大家，護照千萬不要隨意塗鴉或蓋章，以免影響旅行計畫。
",一名女子因在護照上蓋滿日本紀念章，於台灣出境時遭地勤人員以護照汙損為由拒絕登機。她對此感到錯愕不解，因過去幾次出國並未遇到問題。地勤解釋護照如同身分證，不得擅自塗改蓋章，導致她行程受阻。女子因此浪費機票，且因週五被拒登機，急件換發護照需等到下週一。她藉此提醒民眾，切勿在護照上隨意塗鴉或蓋章，以免影響旅行計畫。,6小時前
2025-08-04 17:18:46.484492,肥厚雷雨帶　粉專示警：台灣在「強風軸邊緣」3地容易陣陣大雨,https://www.ettoday.net/news/20250804/3008600.htm,https://cdn2.ettoday.net/images/8338/8338658.jpg,"
▲粉專指出，有肥厚的強烈雷雨帶。（圖／取自「台灣颱風論壇｜天氣特急」粉專）
生活中心／綜合報導
根據氣象署預報，今日西南氣流減弱，降雨將逐漸趨緩且雨停的空檔增加，不過在大環境偏西南風影響下，苗栗以南地區仍有短暫陣雨或雷雨，並有局部大雨或短延時豪雨發生的機率，其他地區大多為多雲的天氣，午後新竹以北及東半部有局部短暫雷陣雨，大台北地區及北部、宜蘭山區午後降雨機率高。
▲氣象署針對澎湖發布大雷雨即時訊息 。（圖／氣象署提供）
「台灣颱風論壇｜天氣特急」發文指出，西南氣流已經移到中國華南沿海及台灣海峽，發展出一條肥厚的強烈雷雨帶，台灣目前仍位於強風軸邊緣，今天中、南部、澎湖容易一陣陣大雨，天氣非常不穩定，出門記得帶雨具。
氣象署上午已針對高雄市、屏東縣以及台南市、澎湖縣、金門縣共5縣市發布豪大雨特報，也持續針對澎湖發布大雷雨即時訊息，慎防劇烈降雨、雷擊、9級以上強陣風，低窪地區慎防淹水，以及低能見度。
",氣象署預報，西南氣流減弱，今日降雨將逐漸趨緩。但苗栗以南地區仍有局部大雨或短延時豪雨發生機率。其他地區多雲，午後新竹以北及東半部有局部短暫雷陣雨。台灣颱風論壇指出，強烈雷雨帶在中國華南及台灣海峽發展，中南部及澎湖天氣不穩定。氣象署持續對高屏、台南、澎湖、金門發布豪大雨特報，並針對澎湖發布大雷雨即時訊息。,6小時前
2025-08-04 17:18:25.927119,明明缺人！「一堆人找不到工作」全場吵翻　苦主嘆：鄉下28K都碰壁,https://www.ettoday.net/news/20250804/3008602.htm,https://cdn2.ettoday.net/images/4072/d4072277.jpg,"
網搜小組／劉維榛報導
「為什麼大家都說找不到工作？」一名女網友質疑，明明許多公司都在徵才，為何還是一堆人喊失業？她認為可能是職缺不合喜好，不願意將就，導致待業時間更久。文章引發兩派論戰，有人喊「薪水太低才不做」，也有人抱怨「有投履歷但沒回音」，甚至在鄉下找一份28K薪水工作都碰壁。
一名女網友在Dcard表示，看到有不少人上網發文哀號找不到工作，但她實際觀察卻不太一樣，像他們公司業務部門一直都有在招人，「但為什麼還是一堆人喊找不到工作？」
原PO進一步發問，是不是大家都卡在「這份工作不是我喜歡的」，所以乾脆選擇不做？但這樣的觀望與挑剔，會不會反而陷入惡性循環，最後落得越來越難進入職場的窘境。
文章一出，一派網友紛紛狠批，「大家都找4萬以上的工作，再來就是地點偏遠的話，年輕人不去」、「工作內容跟薪水不成正比！除非真的沒錢才會將就，不然還是先躺平一陣子」、「開4萬以下的請不到人活該餒，薪資開的低要求又那麼多」、「不當奴隸錯了嗎」。
但也有另一派網友直指，現實比想像中還要殘酷，「是真的蠻難找的，我有投很多薪水只有3萬的都沒有下文」、「這是真的，我投了兩個月，連行政工作都投，也沒收到面試電話，唯一有一通就是業務的面試電話...找工作真的也是看運氣」、「在鄉下完全找不到工作，只有28K作業員去面試後，公司還很挑說需要有經驗的人」、「前陣子裸辭，真的覺得好難找到滿意的」、「我覺得看產業，我投旅行社業務，所有大公司以及中型公司都投了一輪，完全沒有下文，而且我期望薪資才開3萬初...我都快瘋了」。
還有網友試著理性分析原因，「覺得跟願不願意吃苦、對金錢積極度有差！我公司的行政職薪水比一般業界給的高，但就是要不定期加班（有加班費），上班時間不能用手機（其實忙到也沒時間用手機），我問朋友們有沒有興趣跳槽，居然沒人心動，覺得不夠自由、沒有工作與生活平衡，可能每個人對於金錢需求不太一樣？可能我待久習慣了」。
",一名女網友質疑為何許多人抱怨找不到工作，明明企業持續徵才，她認為可能是求職者過於挑剔。此番言論引發熱議，有網友認同是因薪資普遍偏低或工作內容不符期望，求職者不願將就。另一派網友則駁斥，表示現實中找工作確實困難，即便投遞低薪職位也常石沉大海。他們指出，即使是行政或鄉下28K的作業員職位，也可能面臨無回音或被挑剔的情形。也有人分析，這可能關乎個人對吃苦的意願、金錢需求及工作自由度的不同考量。,6小時前
2025-08-04 17:18:04.851637,研究證實「每天多站起來26次」　3個月血壓明顯下降,https://health.ettoday.net/news/3008594,https://cdn2.ettoday.net/images/6166/d6166545.jpg,"
▲研究指出，每天多做坐、站轉換，有助降血壓。（圖／pexels）
記者趙于婷／台北報導
張家銘指出，來自一項2025年發表在《循環》（Circulation）醫學期刊的臨床研究，該研究找了407位停經後的女性，做三個月的行為改變實驗，一組照常生活、一組減少久坐時間、另一組則被鼓勵「多站起來」，也就是增加每天的坐、站轉換次數（sit-to-stand transitions, STST）。
結果發現，每天只要多站起來26次，三個月內就能讓舒張壓平均下降2.24 mmHg，收縮壓下降3.33 mmHg。張家銘說每次從坐姿站起來，腿部肌肉會短暫用力，促進血液循環，讓血流在血管內產生一種良性的摩擦力，稱為「剪切力」（shear stress）。這種壓力能刺激血管內皮細胞釋放一氧化氮（nitric oxide），幫助血管擴張、減少發炎，維持彈性與功能。
張家銘直言，平均下降的血壓數字好像沒有很驚人，但其實這些變化不是靠藥物，也不是靠大幅度運動，而是靠一點點生活中的改變，因為大家都知道運動對血壓好，可現實是很多人做不到每天運動30分鐘，尤其上了年紀、有關節不舒服或只是單純真的太忙。
他提醒，在診間常遇到停經後的女性朋友，生活也沒什麼特別變化，吃得也算清淡，偶爾還是有運動，但健康檢查報告的血壓就是一年比一年高，其實這是身體默默在「轉換體質」，停經後雌激素減少，原本保護血管彈性的那把「隱形雨傘」收起來了，血管開始慢慢變硬、反應變慢，像一條彈性變差的水管，壓力一上來，就容易堵、容易破。
張家銘強調，對停經後少了雌激素保護的女性來說，這樣頻繁的小動作，就是一種自然且有效的血管保養方式，能幫助穩定血壓、延緩血管老化。
","最新研究指出，增加日常坐站轉換次數有助於降低血壓。
一項針對停經後女性的臨床實驗顯示，每天多站立26次，三個月內可顯著降低收縮壓和舒張壓。
這是因為站立時腿部肌肉用力，促進血液循環，並在血管內產生「剪切力」。
這種剪切力能刺激血管內皮細胞釋放一氧化氮，進而擴張血管、維持彈性並減少發炎。
對停經後女性而言，此簡單動作是一種自然有效的血管保養方式，有助於穩定血壓。",6小時前
2025-08-04 17:17:44.626598,大稻埕煙火8/6登場「雙北交管懶人包」　10時起周邊停車格取消,https://travel.ettoday.net/article/3008601.htm,https://cdn2.ettoday.net/images/7793/d7793667.jpg,"
記者彭懷玉／綜合報導
一年一度「大稻埕夏日節」自8月6日起登場，連續三周於每周三（8/6、8/13、8/20）晚上8點在大稻埕碼頭施放300秒主題煙火，8月30日則有壓軸480秒煙火秀。為因應疏通人潮與交通安全，台北市、新北市將同步實施多項交通及人流管制措施，請民眾多加留意。
觀傳局呼籲，每週三晚間煙火施放預期吸引大批人潮，除會於大稻埕碼頭周邊加派人力協助疏導，也透過CMS（停車資訊電子看板）進行遠距提醒。請民眾搭乘捷運至北門站、大橋頭站或雙連站下車，沿途可先至迪化商圈採購伴手禮或享用晚餐，再步行至大稻埕碼頭欣賞煙火及河岸夜景。
考量活動當天行車秩序及民眾用路安全，忠孝橋及台北橋（含自行車牽引道）於晚上7點30分至9點止，管制自行車及行人通行，避免橋上聚集人潮；另忠孝碼頭越堤道及堤外停車場（含月票車輛），8月6日、13日、20日管制時間為下午4點至9點30分止，禁止車輛進出；8月30日管制時間為下午2點至9點30分，禁止車輛進出。
▲2025大稻埕煙火8/6-30登場「雙北交管懶人包」。（表／記者彭懷玉製）
","「大稻埕夏日節」將於8月6日至30日登場，精彩煙火秀不容錯過。
活動期間每週三晚間八點施放300秒主題煙火，8月30日則有480秒壓軸。
為疏導人潮與交通，雙北將同步實施多項交通與人流管制措施。
忠孝橋、台北橋及碼頭越堤道將分時段限制車輛與行人通行。
觀傳局呼籲民眾搭乘捷運前往，共同維護現場秩序與安全。",6小時前
2025-08-04 17:17:22.294586,網傳軌道橋樑疑出現裂痕　高鐵公司澄清為「雨後水痕」,https://www.ettoday.net/news/20250804/3008605.htm,https://cdn2.ettoday.net/images/8338/8338681.jpg,"
▲高鐵澄清，高鐵橋樑疑似裂痕其實是水痕。（圖／高鐵公司提供）。※點圖放大
記者周湘芸／台北報導
有網友今於社群媒體PO文指出，台中市西屯區福安橋附近的高鐵橋樑疑似出現裂痕，引發不少民眾恐慌。對此，台灣高鐵公司澄清，是近日下雨產生的水痕，高鐵結構安全無虞。
有民眾今於社群媒體Threads表示，台中西屯區附近的高鐵橋樑疑似出現裂痕，已通報高鐵公司。
高鐵公司表示，針對今天社群媒體指高鐵橋樑疑似出現裂痕，經確認為近日下雨產生水痕，純屬降雨過後正常現象，高鐵結構安全無虞，旅客可安心搭乘，盼網友於未經查證前，切勿散布不實言論，造成旅客與社會大眾恐慌。
高鐵公司強調，針對全線橋樑機構與土建設施，均進行定期巡檢，確保設施安全，高鐵全線並設置「災害告警系統」（DWS），可隨時監控各項災害對營運安全影響，確保旅客安全。
▲▼高鐵澄清，高鐵橋樑疑似裂痕其實是水痕。（圖／高鐵公司提供）※點圖放大
",有網友在社群媒體指出，台中高鐵橋樑疑似出現裂痕，引發民眾恐慌。台灣高鐵公司對此澄清，該處並非裂痕，而是近期下雨造成的水痕。高鐵強調橋樑結構安全無虞，旅客可安心搭乘。公司呼籲網友勿散布未經查證的不實言論。高鐵平時會定期巡檢橋樑，並設有災害告警系統確保安全。,6小時前
